"","id","faminc","incmiss","black","hisp","afqtpct","momcoll","dadcoll","female","f_dead","attend.college"
"1167",3085,8.359223,0,0,0,87.43101,0,1,1,0,1
"1170",3097,5.433539,1,0,0,50.42649,0,0,0,0,1
"1171",3099,1.89439,0,0,0,69.46814,0,0,1,0,1
"1172",3106,7.577558,0,0,0,85.02258,0,0,1,0,1
"1174",3109,4.743802,0,0,0,96.23683,0,1,1,0,1
"1175",3112,9.404126,0,0,0,58.45459,0,0,1,0,0
"1176",3114,5.433539,1,0,0,27.47115,0,0,0,0,0
"1177",3115,3.343689,0,0,0,94.20472,0,0,1,0,0
"1178",3120,3.76165,0,0,0,36.65329,0,0,1,0,1
"1179",3124,0.9487603,0,0,0,72.50376,1,0,0,0,0
"1180",3126,4.546535,0,0,0,82.83994,0,0,0,0,0
"1181",3127,4.546535,0,0,0,12.51882,0,0,0,0,0
"1182",3128,7.115702,0,0,0,59.50828,0,0,0,0,0
"1183",3129,9.404126,0,0,0,44.80682,0,0,1,0,1
"1184",3133,5.599632,1,0,0,89.96488,0,1,1,0,1
"1185",3135,5.929752,0,0,0,44.30507,1,1,1,0,0
"1187",3141,5.015534,0,0,0,98.1435,0,1,0,0,1
"1189",3143,2.846281,0,0,0,54.08931,0,0,1,0,1
"1190",3145,5.692562,0,0,0,90.86803,1,0,1,0,1
"1191",3151,5.433539,1,0,0,50.95333,0,0,1,0,0
"1192",3153,12.83198,0,0,0,75.89062,0,1,1,0,1
"1193",3155,6.251485,0,0,0,30.0301,1,1,1,0,1
"1194",3156,6.404132,0,0,0,89.98997,1,1,1,0,1
"1199",3165,8.359223,0,0,0,44.70647,0,0,1,0,0
"1200",3166,5.599632,1,0,0,95.4842,1,1,0,0,1
"1201",3171,15.67375,0,0,0,94.15454,1,1,0,0,1
"1202",3175,1.897521,0,1,0,19.21726,0,0,1,0,0
"1203",3178,4.743802,0,1,0,24.00903,0,0,1,0,0
"1204",3185,2.58827,1,0,0,69.81937,1,1,1,1,1
"1205",3189,5.599632,1,1,0,66.48269,0,0,0,0,1
