iduser,pop57,edfa57q,edmo57q,sesp57,hsdm57,hsrankq,tchevl,gwiiq_bm,relfml,milty,mlentr,mx014rer,mx015rer,iduser0,sexrsp,packyears,edfa57qmis,edmo57qmis,sesp57mis,hsrankqmis
185007,2,7,10,5,3,76,0,94,39,0,-2,0,0,1,,0,0,0,0,0
185008,2,16,12,3,3,93,0,112,39,0,-2,0,0,1,,0,0,0,0,0
185009,2,7,7,3,3,88,0,139,39,1,2,0,0,1,,0,0,0,0,0
185013,2,7,7,3,3,12,0,87,39,0,-2,35,1,1,,35,0,0,0,0
186001,4,7,14,3,3,45,0,117,39,1,2,0,0,1,,0,0,0,0,0
186004,4,7,10,2,3,28,0,112,39,1,2,12,1,1,,12,0,0,0,0
186005,4,7,7,3,3,33,0,106,1,1,2,24,2,1,,48,0,0,0,0
186007,4,7,-1,3,3,89,0,117,1,1,1,14,2,1,,28,0,1,0,0
186008,4,10,16,3,3,92,1,107,39,0,-2,0,0,1,,0,0,0,0,0
186009,4,7,7,3,3,38,0,109,39,1,2,0,0,1,,0,0,0,0,0
186013,4,7,7,3,3,30,0,113,39,1,1,0,0,1,,0,0,0,0,0
186014,4,7,10,3,3,51,0,102,1,1,2,0,0,1,,0,0,0,0,0
186016,4,10,7,3,3,78,0,109,39,1,2,0,0,1,,0,0,0,0,0
186017,4,12,12,3,3,9,0,102,39,1,2,15,1,1,,15,0,0,0,0
186018,4,-1,10,3,3,11,0,89,1,1,2,7,2,1,,14,1,0,0,0
186020,4,7,12,3,3,24,0,98,1,1,2,19,1,1,,19,0,0,0,0
187002,3,7,7,3,3,28,0,88,40,1,2,15,1,1,,15,0,0,0,0
187006,3,13,12,3,3,22,0,109,39,1,2,0,0,1,,0,0,0,0,0
187007,3,-3,-3,-3,3,14,0,67,39,0,-2,0,0,1,,0,1,1,1,0
188003,4,7,7,3,3,21,0,83,39,0,-2,12,1,1,,12,0,0,0,0
188010,4,7,7,3,3,9,0,81,1,0,-2,20,0,1,,0,0,0,0,0
188011,4,7,7,4,3,13,0,67,1,1,2,33,2,1,,66,0,0,0,0
188021,4,10,10,3,3,36,0,87,1,0,-2,0,0,1,,0,0,0,0,0
188023,4,12,16,4,3,84,0,106,39,1,2,20,2,1,,40,0,0,0,0
188026,4,14,12,4,3,62,0,92,1,0,-2,0,0,1,,0,0,0,0,0
188031,4,10,10,3,3,78,0,107,68,0,-2,0,0,1,,0,0,0,0,0
188033,4,13,13,5,3,27,0,89,39,0,-2,33,2,1,,66,0,0,0,0
188038,4,7,12,-3,3,54,0,97,43,1,2,0,0,1,,0,0,0,1,0
188039,4,12,16,3,3,34,0,76,39,0,-2,30,0,1,,0,0,0,0,0
189003,4,-1,16,3,3,77,0,120,39,0,-2,0,0,1,,0,1,0,0,0
189006,4,7,12,3,3,57,0,113,39,1,1,10,2,1,,20,0,0,0,0
189015,4,7,7,2,3,77,0,103,1,0,-2,34,1,1,,34,0,0,0,0
189017,4,12,12,3,3,21,0,107,43,1,2,30,4,1,,120,0,0,0,0
189018,4,7,12,3,3,12,0,88,1,1,2,0,0,1,,0,0,0,0,0
189019,4,14,13,3,3,12,0,97,39,0,-2,15,1,1,,15,0,0,0,0
189020,4,7,12,5,3,16,0,77,39,0,-2,0,0,1,,0,0,0,0,0
189031,4,7,16,-3,3,55,0,97,1,0,-2,24,1,1,,24,0,0,1,0
189034,4,10,18,4,3,70,0,115,39,0,-2,40,4,1,,160,0,0,0,0
190002,5,12,12,3,3,17,0,94,1,0,-2,25,3,1,,75,0,0,0,0
